Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang,Standardized_Complaint
Drinking water tank is empty.,Water,Negative,High,Katphal,2025-01-31,413111,en,water tank empty
No water supply in the village since 1 days.,Water,Negative,High,Nimbut,2024-04-10,413110,en,no water supply
Road construction is pending for months.,Road,Negative,Low,Nimbut,2024-05-15,413110,en,road work pending
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Baramati,2024-12-05,413102,en,drainage problem
Village health worker is absent since 3 days.,Health,Negative,Medium,Pandare,2024-09-23,413103,en,health worker absent
No water supply in the village since 2 days.,Water,Negative,High,Katphal,2025-08-04,413111,en,no water supply
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Supa,2024-01-17,413109,mr,other_issue
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Katphal,2024-01-05,413111,mr,other_issue
No electricity for 1 hours continuously.,Electricity,Negative,High,Katphal,2024-11-30,413111,en,prolonged power cut
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Morgaon,2024-12-29,413304,mr,frequent power cuts
Medicines are not available at PHC.,Health,Negative,High,Malegaon,2024-05-25,413115,en,medicines not available
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Pandare,2024-03-03,413103,mr,new road required
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Someshwar,2025-04-21,412306,mr,teachers not available
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Malegaon,2025-02-08,413115,mr,drinking water problem
Drinking water tank is empty.,Water,Negative,High,Morgaon,2024-04-24,413304,en,water tank empty
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Morgaon,2024-07-26,413304,en,drainage problem
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2025-05-28,413102,mr,new road required
Library in village remains closed.,Others,Negative,Low,Katphal,2025-03-22,413111,en,other_issue
Library in village remains closed.,Others,Negative,Low,Morgaon,2024-04-12,413304,en,other_issue
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Morgaon,2024-07-16,413304,mr,other_issue
Drinking water tank is empty.,Water,Negative,High,Pandare,2024-12-28,413103,en,water tank empty
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Morgaon,2024-07-31,413304,mr,drinking water problem
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Supa,2025-06-22,413109,mr,teachers not available
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Nimbut,2024-04-28,413110,en,garbage not collected
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Pandare,2025-07-05,413103,en,garbage not collected
गावात कचरा उचलला जात नाही.,Sanitation,Negative,Medium,Supa,2024-11-01,413109,mr,garbage not collected
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Supa,2025-03-09,413109,en,ambulance not arrived
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Someshwar,2025-08-02,412306,mr,frequent power cuts
Frequent power cuts in the evening.,Electricity,Negative,High,Baramati,2024-08-24,413102,en,frequent power cuts
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Someshwar,2024-08-08,412306,mr,frequent power cuts
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Malegaon,2024-10-06,413115,mr,teachers not available
No water supply in the village since 1 days.,Water,Negative,High,Morgaon,2024-05-06,413304,en,no water supply
The road from Someshwar to nearby town is full of potholes.,Road,Negative,Low,Morgaon,2024-11-19,413304,en,road potholes
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-05-07,412306,mr,drainage problem
Garbage is not collected regularly in Morgaon.,Sanitation,Negative,Medium,Someshwar,2025-09-11,412306,en,garbage not collected
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Pandare,2024-07-28,413103,mr,other_issue
रस्त्यावर मोठे खड्डे पडले आहेत.,Road,Negative,Low,Baramati,2025-08-16,413102,mr,other_issue
पाण्याचा टँकर आला नाही 10 दिवसांपासून.,Water,Negative,High,Supa,2025-07-27,413109,mr,water tanker not arrived
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Katphal,2025-03-07,413111,mr,electricity supply disrupted
The road from Daund to nearby town is full of potholes.,Road,Negative,Low,Nimbut,2024-02-22,413110,en,road potholes
गावात नवीन रस्ता बनवणे आवश्यक आहे.,Road,Neutral,Low,Baramati,2024-01-20,413102,mr,new road required
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Someshwar,2024-03-23,412306,mr,drainage problem
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Pandare,2024-03-25,413103,mr,frequent power cuts
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Supa,2025-08-17,413109,en,drainage problem
Streetlights are not working at the chowk.,Others,Negative,Low,Morgaon,2024-06-19,413304,en,streetlights not working
Frequent power cuts in the evening.,Electricity,Negative,High,Supa,2024-11-09,413109,en,frequent power cuts
Village health worker is absent since 10 days.,Health,Negative,High,Katphal,2025-01-04,413111,en,health worker absent
Village road is damaged due to rain.,Road,Negative,Low,Malegaon,2025-05-31,413115,en,road potholes
Library in village remains closed.,Others,Negative,Low,Baramati,2024-09-20,413102,en,other_issue
Village health worker is absent since 3 days.,Health,Negative,High,Baramati,2024-10-23,413102,en,health worker absent
गावात वीज पुरवठा खंडित झाला आहे.,Electricity,Negative,High,Malegaon,2025-03-21,413115,mr,electricity supply disrupted
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Pandare,2025-07-17,413103,en,drainage problem
Library in village remains closed.,Others,Negative,Low,Someshwar,2024-08-29,412306,en,other_issue
Village health worker is absent since 3 days.,Health,Negative,Medium,Supa,2025-07-01,413109,en,health worker absent
गावात नाल्यांची स्वच्छता होत नाही.,Sanitation,Negative,Medium,Supa,2024-01-02,413109,mr,drainage problem
No doctor available at PHC.,Health,Negative,Medium,Baramati,2025-05-25,413102,en,doctor not available
Library in village remains closed.,Others,Negative,Low,Katphal,2024-11-23,413111,en,other_issue
Playground is not maintained properly.,Others,Negative,Low,Pandare,2024-12-22,413103,en,playground not maintained
Garbage is not collected regularly in Someshwar.,Sanitation,Negative,Medium,Malegaon,2024-11-01,413115,en,garbage not collected
Drinking water tank is empty.,Water,Negative,High,Supa,2024-01-05,413109,en,water tank empty
गावातील शाळेत शिक्षक नाहीत.,Others,Negative,Low,Morgaon,2024-07-28,413304,mr,teachers not available
"Handpump is broken, villagers are suffering.",Water,Negative,High,Pandare,2024-11-06,413103,en,handpump broken
The road from Jejuri to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-05-11,413103,en,road potholes
Village health worker is absent since 3 days.,Health,Negative,Medium,Morgaon,2024-12-25,413304,en,health worker absent
The road from Bhigwan to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2024-05-18,412306,en,road potholes
The road from Morgaon to nearby town is full of potholes.,Road,Negative,Low,Someshwar,2024-04-07,412306,en,road potholes
The road from Indapur to nearby town is full of potholes.,Road,Negative,Low,Pandare,2024-11-22,413103,en,road potholes
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Morgaon,2024-08-28,413304,en,ambulance not arrived
Village health worker is absent since 2 days.,Health,Negative,High,Baramati,2025-05-23,413102,en,health worker absent
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,High,Baramati,2024-03-09,413102,mr,health camp needed
Drainage water is overflowing on the streets.,Sanitation,Negative,Medium,Katphal,2024-04-15,413111,en,drainage problem
Playground is not maintained properly.,Others,Negative,Low,Nimbut,2024-12-26,413110,en,playground not maintained
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Baramati,2024-04-13,413102,mr,health camp needed
Road construction is pending for months.,Road,Negative,Low,Morgaon,2025-05-30,413304,en,road work pending
Electric transformer is not working in Bhigwan.,Electricity,Negative,High,Supa,2025-06-27,413109,en,transformer not working
Playground is not maintained properly.,Others,Negative,Low,Baramati,2024-01-11,413102,en,playground not maintained
पंचायत कार्यालयात कोणी उपलब्ध नाही.,Others,Negative,Low,Malegaon,2024-10-15,413115,mr,other_issue
Medicines are not available at PHC.,Health,Negative,High,Pandare,2024-02-09,413103,en,medicines not available
No electricity for 6 hours continuously.,Electricity,Negative,High,Someshwar,2024-09-18,412306,en,prolonged power cut
गावात पिण्याच्या पाण्याची समस्या आहे.,Water,Negative,High,Morgaon,2024-04-08,413304,mr,drinking water problem
Emergency ambulance did not arrive on time.,Health,Negative,Medium,Nimbut,2024-06-16,413110,en,ambulance not arrived
Medicines are not available at PHC.,Health,Negative,Medium,Supa,2024-04-28,413109,en,medicines not available
Drinking water tank is empty.,Water,Negative,High,Someshwar,2024-11-21,412306,en,water tank empty
No doctor available at PHC.,Health,Negative,High,Malegaon,2025-08-19,413115,en,doctor not available
Dustbins are overflowing everywhere.,Sanitation,Negative,Medium,Malegaon,2025-02-10,413115,en,garbage not collected
Village road is damaged due to rain.,Road,Negative,Low,Baramati,2024-03-14,413102,en,road potholes
"वीज खूप वेळा जाते, अभ्यासात अडचण येते.",Electricity,Negative,High,Baramati,2025-07-31,413102,mr,frequent power cuts
गावात आरोग्य शिबीराची गरज आहे.,Health,Neutral,Medium,Katphal,2024-02-27,413111,mr,health camp needed
